symbol,name,type,current_price,preclose_price,account,portfolio,quantity,avg_price,exchange,margin_ratio,point_value,target_symbol
sh518880,黄金ETF,etf,7.327,7.273,国信证券,动量轮动策略,73700,6.7788,1,,,
cash,国信证券余额,cash,1,1,国信证券,动量轮动策略,410.92,1,1,,,
sh518880,黄金ETF,etf,7.327,7.273,华泰证券,动量轮动策略,73100,6.781,1,,,
cash,华泰证券余额,cash,1,1,华泰证券,动量轮动策略,198,1,1,,,
AG2506,白银期货2506,future,8084,8094,瑞达期货,金银轮动策略,3,7942,1,0.13,15,
IC2506,中证500股指期货2506,future,5437.4,5439.2,瑞达期货,ICIM轮动策略,2,5732,1,0.12,199,000905
M2505,豆粕期货2505,future,2969,2947,瑞达期货,豆粕网格策略,30,2794,1,0.07,9,
cash,余额宝,cash,1,1,支付宝,风险平价资产配置,5076.49,1,1,,,
021177,摩根中证A50ETF联接A,fund,1.075,1.0742,支付宝,风险平价资产配置,291107.89,1.0726,1,,,930050
008114,天弘红利低波100ETF联接A,fund,1.6454,1.6387,支付宝,风险平价资产配置,37980.9,1.6554,1,,,930955
007937,华夏豆粕ETF联接A,fund,1.7862,1.7734,支付宝,风险平价资产配置,34259.2,1.6404,1,,,M0
003318,景顺长城500中性低波指数A,fund,1.3873,1.3772,支付宝,风险平价资产配置,273422.26,1.3114,1,,,930782
008928,宏利消费红利指数A,fund,1.5408,1.5312,支付宝,风险平价资产配置,142803.93,1.4845,1,,,H30094
AU0,纸黄金,future,759.22,762.62,招商银行,个人养老基金,19.0905,408.33,1,1,1,AU0
008114,天弘红利低波100ETF联接A,fund,1.6454,1.6387,招商银行,个人养老基金,61356.62,1.6533,1,,,930955
008817,华宝可转债C,fund,1.6072,1.6059,招商银行,个人养老基金,61127.25,1.4833,1,,,880001
017837,博时中债7-10政金债A,fund,1.1364,1.1363,招商银行,个人养老基金,80102.42,1.1236,1,,,930849
161716,招商双债,fund,1.6005,1.6003,招商银行,个人养老基金,95419.34,1.5836,1,,,000140
968103,汇丰亚洲债券,fund,9.5212,9.5541,招商银行,个人养老基金,10129.23,9.8724,1,,,
cash,微众银行现金,cash,1,1,微众银行,ICIM轮动策略,1321721.4,1,1,,,
cash,富民银行现金,cash,1,1,富民银行,ICIM轮动策略,50000,1,1,,,
SVXY,恐慌指数0.5x做空ETF,us_stock,35.905,34.63,雪盈证券,境外资产管理,335,36.0743,7.3,,,
SLV,白银ETF,us_stock,29.22,29.19,雪盈证券,境外资产管理,298,27.171,7.3,,,
cash,美元余额,us_stock,1,1,雪盈证券,境外资产管理,4079.19,1,7.3,,,
cash,港币余额,hk_stock,1,1,雪盈证券,境外资产管理,3633.03,1,0.9398,,,
217022,招商产业债A,fund,1.8274,1.8273,支付宝,风险平价资产配置,79934.48,1.7912,1,,,"
000140"